fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221116 021512	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	763369	0.192552552	0.790878246	0.327273267	4.511766984	0.021234057	17905	44350000	22
20221116 013327	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	0.1	50	0.5	FALSE	763369	0.193627185	0.746956445	0.627812915	8.603998636	0.009777144	16331	44058000	18
20221116 123848	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	642	1	1	1	0.1	50	0.5	FALSE	763369	0.207000264	0.209231471	0.118427144	5.436490238	0.021722881	17562	43996000	52
20221116 011709	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	0.1	50	0.5	FALSE	763369	0.181662591	0.676892991	0.896686287	5.522754704	0.019001473	18890	43980000	17
20221116 020847	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	368	1	1	1	0.1	50	0.5	FALSE	763369	0.193016676	0.336145981	0.971413143	4.837673775	0.019730595	18811	43898000	21
20221116 070104	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	0.1	50	0.5	FALSE	763369	0.195734286	0.477476082	0.64747092	5.322817016	0.020488017	18228	43784000	40
20221116 085757	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	0.1	50	0.5	FALSE	763369	0.215542904	0.554035795	0.158041142	8.478583475	0.020471328	17256	43728000	46
20221116 035022	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	443	1	1	1	0.1	50	0.5	FALSE	763369	0.225202494	0.799708341	0.894397744	4.577272557	0.019826999	18617	43726000	30
20221115 172148	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1092	1	1	1	0.1	50	0.5	FALSE	763369	0.106273681	0.479272898	0.745044032	8.048820094	0.005507569	16899	43722000	3
20221116 010439	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	0.1	50	0.5	FALSE	763369	0.059042162	0.739442575	0.353967589	10.84440465	0.002601505	17253	43654000	16
20221115 230430	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	0.1	50	0.5	FALSE	763369	0.234376554	0.673725321	0.162727251	6.079945852	0.019302501	19042	43596000	12
20221116 171345	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	350	1	1	1	0.1	50	0.5	FALSE	763369	0.171834979	0.7650313	0.919594577	4.400331969	0.017837256	20232	43536000	59
20221116 122212	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	763369	0.061676419	0.268171697	0.830705724	2.884508741	0.022351956	17195	43530000	51
20221116 105535	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	882	1	1	1	0.1	50	0.5	FALSE	763369	0.228382312	0.619336532	0.472312023	2.98764468	0.020781208	18608	43104000	49
20221115 191859	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	0.1	50	0.5	FALSE	763369	0.143157875	0.378167366	0.479780906	8.685019105	0.005546721	17434	43052000	7
20221116 083209	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	0.1	50	0.5	FALSE	763369	0.173637857	0.35581694	0.898881698	7.902665858	0.016875104	18956	43048000	44
