fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221119 104620	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	929	1	1	1	0.1	50	0.5	FALSE	763369	0.0101990722248662	0.606409120640008	0.98687798761258	8.57230781207947	0.0125621927515627	18060	43880000	34
20221119 105245	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	0.1	50	0.5	FALSE	763369	0.0442105284154377	0.200032226195947	0.995928721963987	8.23379224014173	0.015433041512219	19232	42736000	35
20221119 111420	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	938	1	1	1	0.1	50	0.5	FALSE	763369	0.0101561141554336	0.633985212052609	0.536682311491033	8.35819969266375	0.0130856706876941	19011	43178000	36
20221119 113502	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	859	1	1	1	0.1	50	0.5	FALSE	763369	0.0101980956966455	0.217951125402269	0.586307236290236	6.76059109301138	0.0184560397706616	17877	44326000	37
20221119 115632	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	746	1	1	1	0.1	50	0.5	FALSE	763369	0.0245690744901713	0.382668098769816	0.645446826368346	5.78721620858481	0.017880299588798	18691	43818000	38
20221119 120312	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	763369	0.0853793945159235	0.289676167479631	0.993388444724097	6.84233344263006	0.0182688502981962	17730	44540000	39
20221119 121752	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	356	1	1	1	0.1	50	0.5	FALSE	763369	0.0100409049257287	0.200221629653349	0.779815966228219	8.75046728867694	0.0142360456079886	20187	42586000	40
20221119 123319	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	763369	0.010273214124351	0.210762709942259	0.653972046565459	8.02631452380166	0.0163035076215834	18837	43926000	41
20221119 130512	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1004	1	1	1	0.1	50	0.5	FALSE	763369	0.0102184315981554	0.387981191561631	0.819233240195808	6.8791516140171	0.0184754911404993	18018	43964000	42
20221119 132400	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1284	1	1	1	0.1	50	0.5	FALSE	763369	0.010494097267687	0.775135201907554	0.523762845446742	6.07665925715175	0.0204203829406591	17690	43660000	43
20221119 142119	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1974	1	1	1	0.1	50	0.5	FALSE	763369	0.0100229952396844	0.303787525973505	0.859666815954937	10.0056465691217	0.000302943906931842	17451	43898000	44
20221119 144300	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1477	1	1	1	0.1	50	0.5	FALSE	763369	0.0536899762590624	0.207136737128822	0.0514056038093519	6.12431946230541	0.0176874801347335	18867	41946000	45
20221119 151845	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2288	1	1	1	0.1	50	0.5	FALSE	763369	0.0100249368175918	0.200019219453043	0.351631510791133	5.23695668696825	0.0183254876243146	18391	43218000	46
20221119 152534	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	0.1	50	0.5	FALSE	763369	0.0618288315331814	0.200311478188269	0.696756836562828	6.80189638691183	0.0153204798587932	19325	42310000	47
20221119 153403	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	454	1	1	1	0.1	50	0.5	FALSE	763369	0.0205999357090021	0.686979625730672	0.303050487690784	7.23623490226313	0.0167554605075161	19651	42218000	48
20221119 160727	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4432	1	1	1	0.1	50	0.5	FALSE	763369	0.0187515056507973	0.573408128224328	0.843784759858945	2.31364910741338	0.0223361218970698	17285	42710000	49
20221119 162959	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1100	1	1	1	0.1	50	0.5	FALSE	763369	0.0708379660712162	0.372543315848929	0.999870935107341	2.22529881265163	0.0226453117573536	17044	42392000	50
20221119 170758	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1554	1	1	1	0.1	50	0.5	FALSE	763369	0.0142298096559477	0.390862183477916	0.722315201068468	5.17518298605749	0.022520911364501	16428	43784000	51
20221119 173658	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1660	1	1	1	0.1	50	0.5	FALSE	763369	0.0100035027106414	0.635992739030633	0.892532682840495	7.0305045298136	0.0174848303760241	17058	44924000	52
20221119 180736	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1073	1	1	1	0.1	50	0.5	FALSE	763369	0.012964984949921	0.363698706817135	0.91781755878303	6.88639578189065	0.0177661060871125	17731	44138000	53
20221119 181700	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	0.1	50	0.5	FALSE	763369	0.077079213757169	0.531752972944098	0.896387522933478	6.53467325844434	0.0193360746089348	17733	44134000	54
20221119 183112	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	0.1	50	0.5	FALSE	763369	0.0246642597563075	0.290839193312469	0.458699037603671	6.51270754779562	0.0196243201149701	17254	44452000	55
20221119 190232	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	634	1	1	1	0.1	50	0.5	FALSE	763369	0.0100680871009665	0.741516793004459	0.897131967878511	9.6966242089418	0.012849352933848	16746	45388000	56
20221119 194903	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	859	1	1	1	0.1	50	0.5	FALSE	763369	0.0137975734048263	0.796173669287894	0.903193979467372	11.157114616289	0.000348884877115972	19479	42482000	57
20221119 195426	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	0.1	50	0.5	FALSE	763369	0.0754781512299927	0.799210795134013	0.974002518355719	6.95638003069938	0.0197325343132317	17458	42924000	58
20221119 202222	2692	669817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1055	1	1	1	0.1	50	0.5	FALSE	763369	0.0100006269273522	0.783324619524307	0.887771676922833	8.56072262594392	0.0105646811900755	18444	43512000	59
