fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221116 051049	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2031	1	1	1	0.1	50	0.5	FALSE	763369	0.272795046745653	0.410105359146697	0.706135255456611	1.16353347139433	0.0127806668082861	19634	36652000	32
20221116 052200	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	763369	0.142393103713305	0.417715013263709	0.647515014079593	5.83369016118674	0.0239301948544752	16184	46592000	33
20221116 052937	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	0.1	50	0.5	FALSE	763369	0.160777404203248	0.201338293379525	0.640890525947313	5.42164304177748	0.0190903751041458	18464	44672000	34
20221116 054351	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	0.1	50	0.5	FALSE	763369	0.183021788376943	0.799443758888558	0.907720884552269	4.56567705830418	0.022452563880112	17400	46640000	35
20221116 055409	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	0.1	50	0.5	FALSE	763369	0.153031870566766	0.619123512359471	0.659827644736952	6.14744367496189	0.0207555436237791	17998	45044000	36
20221116 061434	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	459	1	1	1	0.1	50	0.5	FALSE	763369	0.163342827907964	0.473311180386824	0.622840461094359	4.81159569553952	0.0253499732495751	16151	46018000	37
20221116 063751	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	417	1	1	1	0.1	50	0.5	FALSE	763369	0.141492778011899	0.482166653325251	0.73531082090771	5.20549824152514	0.0196147168698831	18751	45218000	38
20221116 065047	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	183	1	1	1	0.1	50	0.5	FALSE	763369	0.16259454023145	0.469538722371824	0.587245445998923	5.66281646102402	0.0229782952692936	16877	46086000	39
20221116 070104	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	0.1	50	0.5	FALSE	763369	0.195734285846313	0.477476082346356	0.647470920465497	5.32281701594834	0.0204880174900278	18228	43784000	40
20221116 075512	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1597	1	1	1	0.1	50	0.5	FALSE	763369	0.11655053645685	0.421116987158452	0.646439231148268	5.81360226378048	0.0238286126903686	15711	46098000	41
