fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion				
20220925 014032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	763381	0.194308513	0.866050274	1773	959	8356	25930000	14				
20220925 061234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	763381	0.088175406	0.999173592	5913	1024	9355	25930000	110				
20220925 024346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1925	TRUE	763381	0.005375954	0.231598937	4906	1024	10602	25920000	34				
20220925 021655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	596	TRUE	763381	0.005303488	0.857558772	1974	1024	6933	25900000	28				
20220925 045145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	828	TRUE	763381	0.00520106	0.60272346	3069	16	9865	25870000	73				
20220925 043213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	763381	0.299591792	0.800454764	7996	16	9750	25860000	67				
20220925 034437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1090	TRUE	763381	0.007028746	0.984247944	5597	1023	10797	25770000	50				
20220925 023514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1551	TRUE	763381	0.005055414	0.793307494	6858	1022	9979	25730000	32				
20220925 051708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	648	TRUE	763381	0.008108441	0.200894805	1954	1023	6055	25730000	81				
20220925 053219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1004	TRUE	763381	0.005371992	0.200561425	3932	1024	7511	25700000	88				
20220925 014252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	763381	0.013592984	0.362896513	5645	47	10171	25660000	16				
20220925 025740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1359	TRUE	763381	0.005300486	0.275823096	3750	154	10454	25660000	37				
20220925 042710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.298573524	0.982029197	7996	31	7452	25660000	65				
20220925 025121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3409	TRUE	763381	0.00505844	0.203302965	6595	939	10908	25630000	35				
20220925 032543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1078	TRUE	763381	0.005111866	0.999715317	4689	228	10205	25590000	44				
20220925 045505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.209607629	0.984971609	7998	1024	7735	25570000	75				
20220925 050301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	763381	0.299723673	0.945714196	1962	505	10376	25570000	78				
20220925 045952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	863	TRUE	763381	0.005106155	0.565901453	1967	1024	11384	25560000	76				
20220925 061212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	500	TRUE	763381	0.017191995	0.36153404	7992	17	7233	25540000	109				
