fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 023436	binary	custom	TRUE	TRUE	FALSE	-100	31	1690	TRUE	763381	0.006149956	0.702725867	7942	299	6287	0.74397575	491	11.17330772	52.99938544	2.075648798	20	24710000	20
20220929 030855	binary	custom	TRUE	TRUE	FALSE	-100	31	167	TRUE	763381	0.178054481	0.743507309	7018	587	11727	0.726925453	972	1.91722566	60.26468785	0.378378198	14	24710000	70
20220929 032203	binary	custom	TRUE	TRUE	FALSE	-100	31	67	TRUE	763381	0.227093969	0.68617362	7978	803	6202	0.779113653	820	17.01817441	62.22487961	0.415801978	12	24480000	81
20220929 032215	binary	custom	TRUE	TRUE	FALSE	-100	31	52	TRUE	763381	0.118762933	0.75467505	3839	957	10254	0.810820715	463	27.5883548	15.8727212	0.287009503	26	24460000	82
20220929 024011	binary	custom	TRUE	TRUE	FALSE	-100	31	42	TRUE	763381	0.174572547	0.381534375	824	634	6076	0.904842952	141	7.541447364	23.05359192	1.286226657	10	24410000	47
20220929 032803	binary	custom	TRUE	TRUE	FALSE	-100	31	2480	TRUE	763381	0.005236948	0.81335563	7748	808	11544	0.662618643	734	5.194119194	66.86010573	0.407921574	23	24200000	88
20220929 032819	binary	custom	TRUE	TRUE	FALSE	-100	31	62	TRUE	763381	0.122749381	0.5445256	4492	728	10339	0.628809756	981	0.847049675	3.778596867	4.492747211	8	24050000	89
20220929 023505	binary	custom	TRUE	TRUE	FALSE	-100	31	51	TRUE	763381	0.213192669	0.256144341	4617	707	10271	0.914883906	602	17.61100939	82.54981498	3.31161633	3	24020000	23
20220929 023844	binary	custom	TRUE	TRUE	FALSE	-100	31	90	TRUE	763381	0.130312161	0.25397429	7443	878	9145	0.696767071	943	44.31596728	14.77787591	0.020922825	21	23950000	39
20220929 023954	binary	custom	TRUE	TRUE	FALSE	-100	31	49	TRUE	763381	0.095991927	0.524515875	2609	460	9482	0.932518374	612	35.26542475	59.57709391	5.120942795	23	23920000	46
20220929 032339	binary	custom	TRUE	TRUE	FALSE	-100	31	60	TRUE	763381	0.182484286	0.700910933	3680	993	9449	0.372909348	524	4.394420809	63.26627304	1.697710208	10	23830000	87
20220929 031846	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.115144016	0.812457825	2151	673	13878	0.831464885	253	0.561853415	39.5870521	0.886764687	4	23610000	76
20220929 032843	binary	custom	TRUE	TRUE	FALSE	-100	31	39	TRUE	763381	0.23264833	0.686289483	6034	900	10159	0.539033763	775	37.82459398	90.20685168	0.055574843	7	23610000	91
20220929 035655	binary	custom	TRUE	TRUE	FALSE	-100	31	130	TRUE	763381	0.132144063	0.960334662	7985	405	9405	0.332142415	385	15.27140186	77.30044525	0.067951639	28	23430000	127
20220929 030036	binary	custom	TRUE	TRUE	FALSE	-100	31	193	TRUE	763381	0.032484955	0.399868533	1841	723	8365	0.286046682	321	7.02659887	26.53246299	1.766154592	10	23110000	64
20220929 035730	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.150422591	0.819003219	1586	497	11842	0.586021256	34	39.20101162	59.64920628	0.049493001	10	23040000	129
20220929 023000	binary	custom	TRUE	TRUE	FALSE	-100	31	32	TRUE	763381	0.172822195	0.715392375	6926	917	7740	0.947770074	256	59.65082781	64.46865009	3.036030521	18	22920000	10
20220929 035834	binary	custom	TRUE	TRUE	FALSE	-100	31	60	TRUE	763381	0.091265756	0.263826994	2635	877	9649	0.340147486	898	0.340767202	18.42571222	11.75481726	22	22710000	133
20220929 023523	binary	custom	TRUE	TRUE	FALSE	-100	31	55	TRUE	763381	0.120156401	0.570802201	7743	16	10705	0.242511551	36	6.663746192	2.340140299	4.499485339	5	22510000	25
20220929 032131	binary	custom	TRUE	TRUE	FALSE	-100	31	148	TRUE	763381	0.056139839	0.700346283	3290	34	11712	0.287281688	111	9.532511534	68.50161095	2.215842114	12	22420000	79
20220929 023815	binary	custom	TRUE	TRUE	FALSE	-100	31	36	TRUE	763381	0.114348836	0.429732109	3558	619	9416	0.880807143	101	94.75240494	90.31657829	9.015322822	3	22370000	37
20220929 022826	binary	custom	TRUE	TRUE	FALSE	-100	31	21	TRUE	763381	0.157763574	0.56021733	5104	538	10205	0.400947175	126	53.65248399	16.46554444	7.156123509	22	22310000	5
20220929 033835	binary	custom	TRUE	TRUE	FALSE	-100	31	23	TRUE	763381	0.092232945	0.620647066	967	985	12303	0.232480286	516	0.783118397	12.00066541	13.41875801	6	22280000	105
20220929 023011	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	763381	0.247210636	0.863578037	1719	216	6709	0.333959584	709	1.845359027	74.7277323	6.497206191	28	22270000	12
20220929 023635	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	763381	0.23153859	0.661502169	927	196	8672	0.522249514	201	15.69022104	34.28793428	11.74060164	5	22260000	31
20220929 022921	binary	custom	TRUE	TRUE	FALSE	-100	31	134	TRUE	763381	0.039016834	0.462466315	5958	387	12311	0.777682932	307	27.93541951	66.74378719	8.697698992	8	22180000	7
20220929 024658	binary	custom	TRUE	TRUE	FALSE	-100	31	82	TRUE	763381	0.053933893	0.507537145	4246	231	5155	0.876622346	422	26.14892102	25.1468085	3.596928133	10	22170000	55
20220929 023726	binary	custom	TRUE	TRUE	FALSE	-100	31	262	TRUE	763381	0.014202909	0.992255723	5666	893	9834	0.478292467	337	32.76095523	40.74116057	13.56407235	7	22100000	34
20220929 022816	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	763381	0.135944324	0.588449694	3761	97	12261	0.63565774	512	50.69154489	63.0033428	5.367001377	17	22040000	4
20220929 023452	binary	custom	TRUE	TRUE	FALSE	-100	31	4	TRUE	763381	0.277418606	0.6396738	1616	735	9752	0.807606133	675	40.16390844	6.665122883	14.0414199	18	21780000	22
20220929 022949	binary	custom	TRUE	TRUE	FALSE	-100	31	11	TRUE	763381	0.266576083	0.791882265	6162	651	11788	0.605306685	778	90.54586634	50.83958778	14.62171185	6	21550000	9
20220929 023446	binary	custom	TRUE	TRUE	FALSE	-100	31	42	TRUE	763381	0.097847443	0.824807185	3162	61	12505	0.52434804	977	22.9829163	76.5798076	9.656577121	9	21550000	21
20220929 023621	binary	custom	TRUE	TRUE	FALSE	-100	31	81	TRUE	763381	0.074858151	0.971837017	4082	980	12797	0.223152669	568	18.35674712	56.72973243	1.197701697	26	21530000	29
20220929 022803	binary	custom	TRUE	TRUE	FALSE	-100	31	36	TRUE	763381	0.059687437	0.805242939	4323	566	7659	0.649659945	356	74.87941269	48.8517671	4.882026924	23	21490000	3
20220929 022943	binary	custom	TRUE	TRUE	FALSE	-100	31	101	TRUE	763381	0.030097807	0.635419205	2085	755	5546	0.723920281	872	35.51162106	38.03179637	10.55079044	9	21470000	8
20220929 023603	binary	custom	TRUE	TRUE	FALSE	-100	31	90	TRUE	763381	0.069930343	0.537098984	7635	609	14303	0.990377832	541	79.05741668	87.69137357	0.974891598	25	21400000	27
20220929 022749	binary	custom	TRUE	TRUE	FALSE	-100	31	32	TRUE	763381	0.082664941	0.846300628	2517	668	8283	0.462508357	636	81.27566444	97.325613	7.95723724	20	21360000	2
20220929 023058	binary	custom	TRUE	TRUE	FALSE	-100	31	26	TRUE	763381	0.244733146	0.201129947	4820	345	9055	0.451726615	630	31.39215783	33.77585869	7.512779482	15	21170000	17
20220929 023050	binary	custom	TRUE	TRUE	FALSE	-100	31	12	TRUE	763381	0.290414609	0.921004158	167	554	11398	0.372481154	468	84.62620632	72.0907814	6.229064142	16	21130000	16
20220929 023907	binary	custom	TRUE	TRUE	FALSE	-100	31	22	TRUE	763381	0.086920627	0.310271989	727	797	10596	0.16498945	842	3.002701183	8.585930526	13.78861591	1	20970000	41
20220929 023025	binary	custom	TRUE	TRUE	FALSE	-100	31	83	TRUE	763381	0.055976571	0.728638828	3840	281	6545	0.577093093	415	25.06845032	99.1010178	12.1982942	27	20910000	13
